name,date,author,risk_score,severity,tactic,technique,subtechnique
PowerShell Execution via a BAT File,2023/08/11,['Anthony Isherwood'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Excessive Web Traffic,2023/09/11,['Bohan'],10,medium,Discovery,T1046 - Network Service Discovery,none - none
